utt_id,text,context,speaker,show,label,split
1_S11E04_067,"Nah, it's worth it.","Hey, where are you going? Back to the dry cleaner. Look at this. They didn't get the stain out of my Starfleet uniform. Well, if you didn't make me wear the green body paint in bed, you wouldn't have to get it dry-cleaned so much.",LEONARD,BBT,0,train
1_S09E18_147,"Great, so they own my idea for a T-shirt that says ""Dumb as a Bag of Geologists.""","Well, what if we go around the university and just get the patent ourselves? We can't. It says on their Web site, as long as we work there, they have a controlling ownership of anything we come up with.",SHELDON,BBT,1,train
1_S10E06_003,I got asked to sign autographs there.,"Hey, have you ever heard of the Van Nuys Comic-Con? Yeah. It's a dinky little convention where they sell collectibles and get sad D-list celebrities to appear. Why?",PENNY,BBT,0,train
1_S12E13_224,"Yeah, who remembers the guy who was trying to find India and discovered America instead?","Uh, can you believe this? Doctors Pemberton and Campbell have been doing a press tour trying to take credit for super-asymmetry. They didn't even know what they were finding. So what? I mean, no one's gonna give them credit for accidentally discovering something.",HOWARD,BBT,1,train
2_172,The whole thing! Can we go?,"You liked it? You really liked it? Oh-ho-ho, yeah! Which part exactly?",CHANDLER,FRIENDS,1,train
2_373,I was making a coconut phone with a professor.,Where the hell have you been?,CHANDLER,FRIENDS,1,train
2_586,"See now that I see crying over, but Bambi, is a cartoon.","You know whats sadder than this? Bambi. I cried for three days with that movie. No wait two, cause on the thrid day my mother killed herself, so I was partly crying for that.",CHANDLER,FRIENDS,1,train
1_427,"Well, I'm sorry, too, but there's just no room for you in my wallet.","This is Dr. Sheldon Cooper. Yeah, I need to cancel my membership to the planetarium.",SHELDON,BBT,1,train
1_S12E03_337,They will find other friends.,"What the hell, Penny?! I'’m gonna need more than that. You'’re not having kids? How could you do this to me? How is it any of your business? Because your kids were supposed to be friends with my kids. Who'’s gonna be friends with them now?",PENNY,BBT,0,train
1_S10E12_115,Cause at the end I assumed there'd be nurses.,"What, so... You thought I was going to be alone for the rest of my life? No! Just for the middle part.",OTHER,BBT,1,train
1_1732,You were right. Your larynx is terribly inflamed. I've never seen anything like it.,Oh no What?,PERSON,BBT,1,train
1_5751,Of course you do. You're a cutie pie! Any girl would be lucky to have you!,"What the hell is wrong with you?! Well...
You were always so nice to me, I thought maybe you liked me. I'm nice to everyone! I'm sorry. Damn right, you're sorry! And you tell Howard there's never been anything between us! I will. Hey, Bernadette? What?! Do you think I have a shot with Penny?",BERNADETTE,BBT,0,train
1_1296,"They gave him an assistant? If I want a new pen, I have to go to the bank with wire cutters.","They're going to digitally add a supernova.
They say it's the perfect metaphor for my incandescent talent. Right, a ball of hot, flaming gas that collapses upon itself. Excuse me. Oh, it's my assistant, Trevor. Go for Koothrappali.",HOWARD,BBT,1,train
1_6426,"You know, the holidays are just around the corner. Maybe he wants to see if he can lodge the other testicle up there.","No, that was a different, different guy. Was he the one who used your head to open a nut? Oh, oh, oh. Was he the one who made you eat your arm hair? No, but, actually, that was this guy's sister. All right, well, what do you think he wants? I don't know.",SHELDON,BBT,1,train
1_4477,I just want to ask you a few questions about Howard Wolowitz.,"Yes.
I'm Special Agent Page, FBI. You say you're Special Agent Page, FBI. Here's my I.D. And here is my Justice League membership card. But that doesn't prove I know Batman.",PERSON,BBT,0,train
1_S09E05_222,Whoa! Walking up to a strange woman in a bar usually doesn't work.,"Maybe you should consider women who aren't in serious relationships with your closest friends. There's that prostate doctor, but I'm still mad at her. Oh, there's a woman. I'll make her my girlfriend.",RAJ,BBT,0,train
1_S09E02_371,"Okay, that is the lamest excuse you could've possibly come up with.","Penny, after all these years, I still feel like maybe I don't deserve you.",PENNY,BBT,0,train
2_359,"You know once you are inside, you don't have to knock anymore.",Hey Hey,CHANDLER,FRIENDS,1,train
1_S09E10_065,"I told you if we were patient, he'd figure it out for himself.","Yeah. So you have a song stuck in your head. It happens to everybody. Well, I'm not everybody. I have an eidetic memory. I should be able to remember what song this is, but I can't. Something's wrong with me.",PENNY,BBT,1,train
1_S11E01_222,"Well, you came to the wrong place.","Hey, Stuart. Oh, hey, Raj. What can I help you with? I need to buy an engagement gift.",STUART,BBT,0,train
1_S12E09_369,"All right, well, they're already dead. There's nothing we can do.","So neither of them showed up for work today? No, I tried calling and no one picked up. Look, I'm sure they're fine. They were probably up all night coming up with a new theory. I-I also texted to see if he wanted to go to the new Fantastic Beasts movie and he didn't respond.",PENNY,BBT,1,train
1_S11E08_137,I don't know. Target practice?,Why would the military want Sheldon?,LEONARD,BBT,1,train
1_S12E06_316,"Hmm. Look at you, improving on perfection. How so?",I think Howard hurting my feelings has in some ways made me a better person.,AMY,BBT,1,train
2_569,Chandler?,"Yeah! Now, why do you want to kill yourself? It's just that I uh, have been working for ten years now at this meaningless, dead-end job and nobody here even knows I exist!",PHOEBE,FRIENDS,0,train
2_210,When are you coming home?,"Well, the biggest news is still you dumping Barry at the altar! Alright. Let's talk reality for a second. Okay.",PERSON,FRIENDS,0,train
1_S12E21_261,Other than Bernadette? That does not sound right.,So guess what. There was a waitress at The Cheesecake Factory back in the day who kind of had a thing for me.,RAJ,BBT,1,train
1_90,"Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.","A marathon? How many Superman movies are there? You're kidding, right? I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her. Which one was that? One. You realize that scene was rife with scientific inaccuracy. Yes, I know, men can't fly. Let's assume that they can.",SHELDON,BBT,0,train
2_511,"You said you spent all that money because those boots go with skirts, dresses and pants. What do you plan on wearing? A Chicken suit?",And the boots don't really go with it.,CHANDLER,FRIENDS,1,train
1_1478,"Sadly, Mrs. Giselle Wolowitz is sensitive to chlorine. Lucky for her I like my fashion models pruny and bug-eyed.","Did I miss anything? Did they kick Giselle off? Not yet, but her underwater photo shoot was an embarrassment.",HOWARD,BBT,1,train
1_S11E12_290,I don't think they're acting.,"Did Sheldon and Amy give you guys that puzzle, too? Yeah. Is it just me or have they been acting strange?",LEONARD,BBT,1,train
1_1772,"""Dave."" Sounds like Leonard's got a new BFF.","There are always do-overs when my people play sports. Where were you that's more important than Wii bowling night? Actually... It's rhetorical.
There is nothing more important than Wii bowling night. Come on, it's just a video game. And we suck at it. Nice motivational speech from the team captain. Where were you?",HOWARD,BBT,1,train
1_S10E06_166,I feel like I'm selling candy so our team can get new uniforms.,Never been on this side of the table before. I feel powerful. Really?,PENNY,BBT,0,train
1_S10E18_391,"Oh, great, it'll be easier for you to look up at the stars without a roof over your head.","Well, no offense, but I didn't go to art school. I have a PhD in astrophysics.",STUART,BBT,1,train
1_S10E04_403,The kind who almost put a pillow over your face last night.,"(sighs) Sheldon, maybe living together is a bad idea. Well... Yeah, but what kind of scientists would we be, drawing a conclusion after only 12 hours of data?",AMY,BBT,0,train
1_11378,Are you sure a dummy like me can handle something as complicated as a blanket?,"Okay. On the count of three, I'll shoot the fire extinguisher and get him airborne. Howard, you wave the blanket and guide him towards the exit. Raj, you hold open the curtain so he can fly out.",HOWARD,BBT,1,train
2_353,"Nothing. It's just old and dingy, that's all.","Oh Monica, listen, I ah, I saw down at the hardware store, they got those designer tiles on sale. If you ever want to redo the bathroom floor. Why, what's wrong with my bathroom floor?",JOEY,FRIENDS,0,train
1_2361,Thank you so much for giving me the opportunity to help.,Thanks so much for helping me.,LEONARD,BBT,0,train
2_338,And I am sure every person here really really wants you to join our group.,"Scott scott come back. You have to realize that we are a bunch of people with severe problems. We have been trying to help ourselves, just like you have been trying to help yourself. That's why we need to help each other. I mean, you seem like a decent guy.",MODERATOR,SARCASMOHOLICS,1,train
1_7490,"It's okay, you know, we space cowboys don't do what we do for glory and fame. We leave that to your rock stars and your athletes and your Howie Mandels.","Yeah, well, Bernadette's a little under the weather and my mom's kind of under my dentist. Wait, your, your mother is sleeping with your dentist? Former dentist.
I need a new one now that I know where his hands have been. So you're wandering all around by yourself?
That's not the kind of hero's welcome an astronaut should come home to.",HOWARD,BBT,0,train
2_334,"When they're hungry enough, they'll come in.","Yes. Yes, there is, they play on Sundays and Monday nights. Oh shoot! I work Monday nights. Umm, this stuffing is amazing. Do you think we should bring them some?",JOEY,FRIENDS,0,train
1_S12E17_195,Maybe she's basing that on your poor husbanding skills.,"They're still asleep. Apparently, when I put someone down for a nap, they sleep hard. That's a weird brag, Howard. (doorbell rings) I'll get it. Bernadette thinks I have poor parenting skills. (chuckles)",LEONARD,BBT,1,train
2_446,"I'd love to show ya, but I just tucked her in.",Hi Joey. Hey! How you doin'? He has the most amazing Porsche under there!,JOEY,FRIENDS,0,train
1_S12E04_027,"I didn't just drink the crazy milk, I bought the crazy cow.","Who's Tam? He was my best friend in the whole world growing up. Really? Why have I never heard you mention him before? Oh, of course I have. I'm sure I've mentioned him, like, five times this week. I don't think you have. Tam! Tam! Tam! Tam! Tam! There, it's only Thursday.",AMY,BBT,1,train
2_416,Were you so late because you were burying this woman?,Ok it was just me and her at the back of the train and I sat at the door so she had to pass by me if she like to switch cars. She was totally at my mercy.,CHANDLER,FRIENDS,1,train
1_1262,You were very clear. As was everyone else at the table.,"Leonard, this is Tom. Hi, Tom. Sheldon? Didn't I explain to you about your little mistake in the cafeteria?",SHELDON,BBT,0,train
1_S10E09_100,It's like scrolling through the emojis on my phone.,It's always fun watching him read someone else's work. (scoffs) (moans),PENNY,BBT,0,train
1_S11E03_220,"Honey, that's you.","What are you listening to? Nothing. Oh, come on, I want to hear. We don't need GPS. Let's just see where the road takes us. I see why you turned it off. That guy sounds like an idiot.",PENNY,BBT,0,train
1_3837,"Excuse me, I'm thirsty, so I'm going to go to the refrigerator and get myself a refreshing beverage.","Oh, there it is: now that you don't have a girlfriend, you want to hang out with me again. I never stopped hanging out with you. Oh, please, we all know I'm the friend you call when you have no other options. If we were the Justice League, I'd be Aquaman. I wish you were Aquaman. Then I could send you to scoop my mom out of the old lady tank.",SHELDON,BBT,0,train
1_3840,"I read a study online that walking after a meal not only aids in digestion, but increases serotonin, and you know me, if there's one thing I like more than a refreshing beverage, it's serotonin. Bye-bye.","Ah…I do so love beverages. Now I think I'll take my after-dinner walk. Since when do you take after-dinner walks? Yeah, since when do you take walks?",SHELDON,BBT,0,train
1_S12E05_054,"Oh, the helmet will sense that and stop the experiment.",So I'm gonna place the sensory isolation helmet on you for about five minutes. All you need to do is sit still and relax. What do I do if I start to get claustrophobic?,AMY,BBT,0,train
3_S02E01_096,"Richard, tell him I'm CTO. Dinesh: You already told that fat guy that I'm the CTO.","Dinesh: I can't believe how many gifts we're getting. Gilfoyle: Gifts I'm getting. That Oculus rig is addressed to the CTO. No, I'm the CTO. As your superior, I order you to give me that Oculus. You can't make me do stuff. You're not the boss of me. Actually, I am the boss of you. Okay.",GILFOYLE,SV,0,train
1_S10E05_110,The only thing I hate more than you right now is that book!,"Honey, how ya feeling? (Bernadette retching loudly) The book says at this stage of the pregnancy morning sickness should be going away. (retching) So that's good news, right?",BERNADETTE,BBT,0,train
1_S12E18_159,"Honey, remember, she's my child, too.","Hey. Kids asleep? Nope. I've been trying to get them down for hours. Apparently, Halley's afraid of the dark now and I can't turn on the night-light cause it makes Michael cry. Why doesn't he like the night-light? Jot that down, we can ask him as soon as he learns to speak. We can also find out what's so damn funny about birds. I'll go talk to her. I don't know why she's suddenly so afraid of everything.",HOWARD,BBT,1,train
1_971,"- Now?! - No, after my tongue has swollen to the size of a brisket!","Take that! What's the matter? This granola bar has peanuts in it! Oh, my God. Why did you eat it? I don't know. It was just there! If I had a gun there, would you have shot yourself? Don't yell at me! I've got to go to the emergency room!",HOWARD,BBT,1,train
1_S09E21_255,Interesting. Maybe my male cycle synced up with raj's actual period.,"So what the hell happened? Oh, I just ran out of patience with sheldon's nonsense. Tell me about it. I've had it with raj, too. You know, like women, men have a monthly hormone cycle. Dips in testosterone can cause irritability.",HOWARD,BBT,1,train
1_S12E02_274,"Or you can ask me, the geologist who won the MacArthur Genius Grant.","Okay, so it's quartz. That's got to mean something. What do we know about quartz? I'll Google it.",OTHER,BBT,1,train
3_S03E03_316,"Richard, look, I'm sorry, but I think the box is here to stay.","She was supposed to talk Barker out of making the box. What the fuck happened? - Richard. - What? I was on the call, okay? She tried, he said no. - Well, then she should fire him. - She can't fire him. Why not? She fired me. Exactly. She can't fire him because she fired you. Firing a young CEO and installing a much more experienced one looks like leadership. Firing two CEOs in a month looks like chaos.",OTHER,SV,0,train
2_408,"Okay, but if you are not coming back soon, there is pretty much nothing I can do about it","Saucy. I'll be back in two minutes. You are going to leave me like this Knowing you are here, waiting for me, it is kind of exciting isn't it?",CHANDLER,FRIENDS,1,train
1_60,It's just a privilege to watch your mind at work.,I never would have identified the fingerprints of string theory in the aftermath of the Big Bang. My apologies. What's your plan?,SHELDON,BBT,1,train
1_S11E05_156,My ride home with you was hellish.,"She's going to be home at ""eight-ish."" Like, when is that? 8:01? 8:02? And what kind of scientist uses ""-ish""? I'll give it a go.",LEONARD,BBT,1,train
3_S05E02_072,Congratulations. You've finally taken your rightful spot amongst the handicapped.,"That's odd. You left before me. How was I able to park before you? I guess all 50 of the new employees decided to show up bright and early for the fucking all-hands meeting. I had to park on level five. Huh! So unlike you, the world understands that I'm saving the planet and has rewarded me with...(clicks tongue) primo spot.",GILFOYLE,SV,1,train
1_S11E07_265,"Sheldon, that was pretty rude.","Are you embarrassed of me? Oh, no, no, no, not you. No, just the work that you've devoted your entire life to. If you're ashamed to be working with me, then I don't want to work with you.",LEONARD,BBT,0,train
1_8746,"I enjoyed it. When you told me I was going to be ""losing my virginity,"" I didn't think you meant showing me <i>Raiders of the Lost Ark</i> for the first time.","So what'd you think? It was good. That's it? ""Good""?",AMY,BBT,1,train
1_S10E04_361,Wait. Wrong number.,"Okay, you're positive you want to know? Yes. Okay. Here we go. It's ringing. (ringtone playing) Hello?",BERNADETTE,BBT,0,train
2_535,"So, I'm sorry I just don't think we should go away together yet.","spring vacation. spring vacation. Oh good. Look, I ..   Look, I'm having a great time with you and I just don't want us to move to fast or put to much pressure on us.",ROSS,FRIENDS,0,train
2_442,No itÕs the rose in the kitchen thing.,"She is miserable. Just to keep me upto speed Dorothy, it is this negligent arson that prospect of spending the rest of her wiening years in jail thing right?",DOROTHY,GOLDENGIRLS,1,train
1_S10E05_120,How 'bout we stay here? We don't even have to tell anyone. It'll be like a secret vacation at home.,But it's our last chance to take a vacation that's just the two of us.,HOWARD,BBT,0,train
2_1,"Yes you can. You're thinking about time, you can't go back in time.","You know what I knew something like this is gonna happen What are you doing? Chandler, you can't just go back a phase",CHANDLER,FRIENDS,0,train
1_S11E10_337,"Wow, this conversation got mean fast.","Hey, Howard. Hey. Where is everybody? I could ask you the same question.",STUART,BBT,0,train
2_129,What are these? Claws?,Oh Dorothy would please open this jar of nuts for me? You couldn't get it open? Oh I didn't try. I don't wanna risk cracking a nail.,DOROTHY,GOLDENGIRLS,1,train
1_S12E15_420,"Really? Well, I did not see that coming.","All right, everyone's suited up. Let's head out to the tarmac! Actually, one second. Howie, I don't think I should do this.",HOWARD,BBT,1,train
1_11885,"Yeah, turns out half a dozen menorahs really sets a mood.","Glad you guys could make it. Of course. Wow, it looks really pretty in here.",PERSON,BBT,1,train
1_S11E11_024,Why are you smoking meat?,"Oh, Stuart, two questions: Do you have the new Aquaman, and do you mind if I use your back room to smoke some meat? Well, since it's you asking, I'm gonna guess that's not a euphemism.",HOWARD,BBT,0,train
1_S12E16_140,"Oh, no, this is the rest of our lives.","I'm almost positive I heard William Shatner. I wonder who else is playing. I-I bet we can use graph theory to determine who Wil knows and who is likely to play D&D. Yes. Okay, obviously he's connected to the whole Next Gen cast... So this is the rest of our night, huh?",AMY,BBT,1,train
2_282,What-wh-what so we'll just stay married forever?,"Wow! This is so amazing. I uh, I really thought I'd have to talk you into this more.",RACHEL,FRIENDS,1,train
2_488,"Just a sec, give me a minute to wake up for this,Ah-ha-ha!!",What? The ring is gone! Ugh.,CHANDLER,FRIENDS,0,train
1_S11E04_016,"Well, it's a boy.","So, you two ready to find out the sex of this baby? Yeah. Absolutely. Is Halley hoping for a little brother or a little sister? Well, she's nine months old, so unless it jingles or is in my bra, she doesn't care. And how about you two? You know, for the first one, we really wanted a girl, but this time around, we don't have a preference. Yeah. Boy, girl, as long as it's healthy.",OTHER,BBT,0,train
1_S12E11_072,"No offense, worker bees.","Dr. Cooper. Ah, President Siebert. What are you doing in the regular cafeteria? You're a superstar.",OTHER,BBT,1,train
3_S02E03_244,Sounds like ERLICH.,"The guy is a joke. How does he even do that? He's a boorish, pompous, womanizing douchebag who got lucky, like, 20 years ago. and hasn't done anything since then.",GILFOYLE,SV,1,train
1_S12E07_264,(whining): It's just so hard!,"Ooh. Someone's making decisions. I'm reviewing these proposals. Yeah. 'Cause you're the boss man, telling people what's what. I like it.",LEONARD,BBT,0,train
2_24,"Uh, okay. The fifth dentist caved and not they're all recommending Trident?","Who? Dee, the sarcastic sister from What's Happening!! Guys, guess what guess what guess what.",CHANDLER,FRIENDS,1,train
3_S06E02_398,"Look, we cannot take blood money.","There's a reason Jared tried to ditch this guy. -We cannot take his money. -Why not? Did he tell you where he gets it from? How his grandfather was the chief of secret police under Pinochet? About how they ran their mines? They were basically slave traders. He can't really be all that bad. I mean, he really, really likes Pied Piper.",OTHER,SV,0,train
1_S09E06_055,Sounds like you on Cinco de Mayo.,Why do you need Kripke? Why don't you just go to Party City for helium? We'd have to go to every Party City in California.,HOWARD,BBT,1,train
1_5880,"When you're done copping a feel, that goes on my wrist.","Oh, sweetie, guests don't normally wear corsages to a wedding. 
That's more of a prom thing. I never went to my prom. 
My mom paid my cousin to take me, but he just used the money to buy drugs. Put the corsage on her. When you're done copping a feel, that goes on my wrist.",AMY,BBT,1,train
2_127,"When? Today? Some, not a lot.","Joe? Yeah! Uh, you've had a lot of sex right?",JOEY,FRIENDS,0,train
1_S09E08_255,"No, pinch me!","- What happened? - OMG. - Aren't you Leonard Hofstadter? - Yeah? I saw you speak at Stanford with Sheldon Cooper. Amy, can you believe it? It's Dr. Leonard Hofstadter!",AMY,BBT,1,train
2_410,If you wanna put a label on it.,"That's funny. Who are they? The blond woman is my ex-wife, and the woman touching her is her... close, personal friend. You mean they're lovers.",ROSS,FRIENDS,1,train
1_S12E04_003,"Wait, I'm still in them, right?","Hey, whatcha doing? Improving our wedding photos. Oh, that's nice.",AMY,BBT,1,train
2_491,"Let me think! Let me think! Oh, I don't care.",The wheel or pick a Google card.,CHANDLER,FRIENDS,1,train
2_20,My duties?  All right.,You must've had your hands full That I did. That I did. So let's talk a little bit about your duties.,CHANDLER,FRIENDS,0,train
